Date,Open,High,Low,Close,Adj Close,Volume
2020-06-05,12.110000,12.320000,11.260000,11.930000,11.930000,18795300
2020-06-08,11.850000,12.100000,11.130000,12.030000,12.030000,14912700
2020-06-09,12.000000,13.200000,11.900000,12.760000,12.760000,19104100
2020-06-10,13.100000,13.630000,12.950000,13.390000,13.390000,15250700
2020-06-11,12.920000,13.350000,12.020000,12.180000,12.180000,14659500
2020-06-12,12.610000,13.400000,12.550000,13.020000,13.020000,13157700
2020-06-15,13.150000,14.190000,13.150000,14.150000,14.150000,20379100
2020-06-16,14.230000,14.290000,13.260000,13.900000,13.900000,13944700
2020-06-17,13.690000,14.190000,13.470000,13.820000,13.820000,12122900
2020-06-18,13.670000,14.500000,13.610000,14.340000,14.340000,10963500
2020-06-19,14.430000,14.740000,14.110000,14.270000,14.270000,17969200
2020-06-22,14.500000,15.320000,14.400000,15.300000,15.300000,16222000
2020-06-23,16.760000,22.680000,16.010000,21.570000,21.570000,172015000
2020-06-24,22.120001,25.600000,20.629999,23.870001,23.870001,125018300
2020-06-25,25.790001,31.570000,25.340000,31.250000,31.250000,143776900
2020-06-26,31.639999,33.790001,24.600000,29.980000,29.980000,150212700
2020-06-29,28.320000,31.709999,26.600000,31.690001,31.690001,52957900
2020-06-30,27.040001,30.000000,23.590000,26.950001,26.950001,98390000
2020-07-01,22.750000,24.270000,18.350000,19.730000,19.730000,103810600
2020-07-02,19.910000,22.480000,19.900000,21.450001,21.450001,52609000
2020-07-06,21.620001,21.870001,19.530001,20.930000,20.930000,39657900
2020-07-07,21.000000,24.990000,20.750000,24.090000,24.090000,62338300
2020-07-08,22.799999,24.389999,22.530001,23.459999,23.459999,28460800
2020-07-09,23.000000,24.520000,22.910000,23.270000,23.270000,23928600
2020-07-10,23.129999,23.650000,22.650000,23.379999,23.379999,16854200
2020-07-13,23.469999,28.540001,23.430000,25.620001,25.620001,57149400
2020-07-14,27.010000,28.139999,24.639999,26.209999,26.209999,31609200
2020-07-15,25.400000,25.480000,23.469999,24.510000,24.510000,21996800
2020-07-16,23.650000,24.650000,23.160000,24.570000,24.570000,11989700
2020-07-17,25.299999,27.790001,25.230000,26.969999,26.969999,38122500
2020-07-20,26.969999,27.500000,24.100000,25.370001,25.370001,21313000
2020-07-21,25.559999,27.950001,24.660000,27.049999,27.049999,22284500
2020-07-22,25.930000,26.730000,25.110001,26.190001,26.190001,18205900
2020-07-23,25.650000,26.230000,24.150000,24.580000,24.580000,15199100
2020-07-24,23.049999,23.049999,21.520000,21.910000,21.910000,16890800
2020-07-27,23.020000,23.049999,20.070000,21.080000,21.080000,19565800
2020-07-28,20.459999,22.780001,20.350000,20.790001,20.790001,20489000
2020-07-29,21.129999,21.410000,19.070000,19.480000,19.480000,21310400
2020-07-30,21.209999,22.930000,20.129999,20.730000,20.730000,44108600
2020-07-31,20.680000,21.020000,19.290001,19.440001,19.440001,18422500
2020-08-03,19.570000,20.700001,18.719999,20.690001,20.690001,17517600
2020-08-04,20.379999,21.059999,19.820000,20.320000,20.320000,10557500
2020-08-05,20.240000,22.129999,19.820000,21.790001,21.790001,16590200
2020-08-06,21.610001,21.840000,19.780001,20.330000,20.330000,15371000
2020-08-07,20.180000,21.049999,19.900000,20.219999,20.219999,9719700
2020-08-10,19.620001,19.660000,18.230000,18.990000,18.990000,18822000
2020-08-11,16.500000,16.700001,14.500000,14.620000,14.620000,46947900
2020-08-12,14.960000,15.190000,12.410000,13.750000,13.750000,35602600
2020-08-13,13.470000,14.750000,13.450000,14.390000,14.390000,14377600
2020-08-14,14.680000,16.059999,14.510000,14.790000,14.790000,22227200
2020-08-17,14.810000,15.040000,13.900000,15.040000,15.040000,10400300
2020-08-18,14.800000,15.070000,14.100000,14.190000,14.190000,9189900
2020-08-19,14.330000,14.830000,14.210000,14.470000,14.470000,8583800
2020-08-20,14.430000,15.030000,14.270000,14.860000,14.860000,10817700
2020-08-21,14.600000,14.780000,13.830000,14.100000,14.100000,10008300
2020-08-24,13.270000,13.360000,11.930000,12.240000,12.240000,20041700
2020-08-25,11.730000,13.080000,11.600000,12.620000,12.620000,10711000
2020-08-26,12.590000,13.090000,12.360000,12.730000,12.730000,7856600
2020-08-27,12.280000,12.690000,11.600000,11.810000,11.810000,13498700
2020-08-28,11.800000,12.400000,11.330000,12.060000,12.060000,9800800
2020-08-31,12.290000,12.700000,11.910000,11.990000,11.990000,8032600
2020-09-01,11.600000,12.070000,11.220000,11.410000,11.410000,9095900
2020-09-02,11.170000,11.420000,10.010000,10.630000,10.630000,23367200
2020-09-03,10.260000,10.880000,9.780000,9.850000,9.850000,15939900
2020-09-04,9.850000,10.140000,8.780000,9.570000,9.570000,12544200
2020-09-08,10.200000,10.240000,9.150000,9.610000,9.610000,15517700
2020-09-09,10.010000,11.890000,9.930000,10.280000,10.280000,27308000
2020-09-10,10.300000,10.450000,9.660000,9.720000,9.720000,11360000
2020-09-11,9.790000,10.300000,9.580000,10.080000,10.080000,9468600
2020-09-14,10.250000,11.380000,10.230000,11.320000,11.320000,16245400
2020-09-15,11.510000,14.260000,11.510000,13.630000,13.630000,44936300
2020-09-16,14.380000,18.549999,14.080000,18.520000,18.520000,110608200
2020-09-17,16.559999,17.889999,14.300000,15.670000,15.670000,58219800
2020-09-18,15.450000,18.469999,14.890000,17.000000,17.000000,59905900
2020-09-21,16.950001,18.450001,16.500000,17.690001,17.690001,33628000
2020-09-22,17.920000,18.690001,16.580000,16.980000,16.980000,26992100
2020-09-23,16.209999,17.000000,15.230000,15.970000,15.970000,21016600
2020-09-24,14.920000,16.000000,14.500000,15.370000,15.370000,13417600
2020-09-25,15.850000,16.959999,15.850000,16.940001,16.940001,13539800
2020-09-28,10.630000,13.800000,10.280000,12.140000,12.140000,66840700
2020-09-29,11.930000,12.550000,11.290000,11.310000,11.310000,22787200
2020-09-30,11.200000,11.840000,11.100000,11.600000,11.600000,14094200
2020-10-01,11.740000,12.100000,11.420000,11.740000,11.740000,9599200
2020-10-02,11.850000,12.200000,11.530000,11.650000,11.650000,10122300
2020-10-05,11.760000,11.940000,11.210000,11.940000,11.940000,8493200
2020-10-06,11.890000,13.110000,11.890000,12.410000,12.410000,16015900
